step cell x y activation replay
1 14 976.0 167.0 0.745165761677 False
1 24 947.0 230.0 0.770367524113 False
1 25 1190.0 284.0 0.384993081675 False
1 34 940.0 318.0 0.579344499314 False
1 45 1030.0 453.0 0.40479330579 False
4 14 976.0 167.0 0.470647818641 False
4 25 1190.0 284.0 0.575627032705 False
4 35 1142.0 333.0 0.445760732277 False
4 45 1030.0 453.0 0.619580051253 False
7 25 1190.0 284.0 0.444034899151 False
7 45 1030.0 453.0 0.890432550812 False
10 45 1030.0 453.0 0.97158466773 False
13 45 1030.0 453.0 0.957790762953 False
13 55 1098.0 560.0 0.501446778694 False
16 45 1030.0 453.0 0.738847220883 False
16 55 1098.0 560.0 0.804357453175 False
16 65 1017.0 638.0 0.505556695225 False
19 45 1030.0 453.0 0.519230453257 False
19 65 1017.0 638.0 0.895846875671 False
22 65 1017.0 638.0 0.641502912193 False
25 73 786.0 786.0 0.448563797854 False
25 74 978.0 790.0 0.649724122503 False
25 75 1124.0 778.0 0.423703283601 False
28 74 978.0 790.0 0.941378522429 False
28 75 1124.0 778.0 0.667382021964 False
28 84 953.0 875.0 0.496997728846 False
28 85 1030.0 856.0 0.655284327916 False
31 73 786.0 786.0 0.470121572661 False
31 74 978.0 790.0 0.824513762628 False
31 75 1124.0 778.0 0.425948793427 False
31 84 953.0 875.0 0.869656523634 False
31 85 1030.0 856.0 0.653435567947 False
31 95 1050.0 991.0 0.37827077684 False
34 84 953.0 875.0 0.972703289114 False
34 85 1030.0 856.0 0.624423136037 False
34 93 791.0 997.0 0.392673797928 False
34 94 914.0 983.0 0.442528729402 False
34 95 1050.0 991.0 0.609395174622 False
37 84 953.0 875.0 0.632494838183 False
37 93 791.0 997.0 0.679296554732 False
37 94 914.0 983.0 0.867341177409 False
37 95 1050.0 991.0 0.528815640873 False
40 84 953.0 875.0 0.72811472305 False
40 85 1030.0 856.0 0.504082235708 False
40 93 791.0 997.0 0.398289801958 False
40 94 914.0 983.0 0.652364677135 False
40 95 1050.0 991.0 0.804599901153 False
43 74 978.0 790.0 0.502578046284 False
43 75 1124.0 778.0 0.419770472066 False
43 84 953.0 875.0 0.980944728694 False
43 85 1030.0 856.0 0.794881752296 False
43 95 1050.0 991.0 0.59927925497 False
46 73 786.0 786.0 0.590964546093 False
46 74 978.0 790.0 0.658285181515 False
46 84 953.0 875.0 0.820392291037 False
46 85 1030.0 856.0 0.473292645326 False
49 73 786.0 786.0 0.405654994518 False
49 74 978.0 790.0 0.980017123574 False
49 75 1124.0 778.0 0.540312415356 False
49 84 953.0 875.0 0.555635863339 False
49 85 1030.0 856.0 0.562495199403 False
52 74 978.0 790.0 0.748209294575 False
52 75 1124.0 778.0 0.709270883187 False
52 84 953.0 875.0 0.664374930348 False
52 85 1030.0 856.0 0.944694945453 False
52 95 1050.0 991.0 0.479659428207 False
55 74 978.0 790.0 0.502578046284 False
55 75 1124.0 778.0 0.419770472066 False
55 84 953.0 875.0 0.980944728694 False
55 85 1030.0 856.0 0.794881752296 False
55 95 1050.0 991.0 0.59927925497 False
58 75 1124.0 778.0 0.425843915712 False
58 84 953.0 875.0 0.656792373183 False
58 85 1030.0 856.0 0.747542510756 False
58 95 1050.0 991.0 0.873027920251 False
61 84 953.0 875.0 0.54302521814 False
61 93 791.0 997.0 0.42110354332 False
61 94 914.0 983.0 0.736094976196 False
61 95 1050.0 991.0 0.842938262975 False
64 73 786.0 786.0 0.36990494686 False
64 84 953.0 875.0 0.811029096913 False
64 85 1030.0 856.0 0.374519175859 False
64 93 791.0 997.0 0.558527314431 False
64 94 914.0 983.0 0.732615524558 False
64 95 1050.0 991.0 0.578624580616 False
67 74 978.0 790.0 0.502578046284 False
67 75 1124.0 778.0 0.419770472066 False
67 84 953.0 875.0 0.980944728694 False
67 85 1030.0 856.0 0.794881752296 False
67 95 1050.0 991.0 0.59927925497 False
70 75 1124.0 778.0 0.425843915712 False
70 84 953.0 875.0 0.656792373183 False
70 85 1030.0 856.0 0.747542510756 False
70 95 1050.0 991.0 0.873027920251 False
73 84 953.0 875.0 0.859731073406 False
73 85 1030.0 856.0 0.517067300329 False
73 93 791.0 997.0 0.447718218468 False
73 94 914.0 983.0 0.651085607869 False
73 95 1050.0 991.0 0.688490479236 False
76 73 786.0 786.0 0.570780714494 False
76 84 953.0 875.0 0.852121867337 False
76 93 791.0 997.0 0.494896974893 False
76 95 1050.0 991.0 0.393870596833 False
79 74 978.0 790.0 0.502578046284 False
79 75 1124.0 778.0 0.419770472066 False
79 84 953.0 875.0 0.980944728694 False
79 85 1030.0 856.0 0.794881752296 False
79 95 1050.0 991.0 0.59927925497 False
82 73 786.0 786.0 0.40227753387 False
82 74 978.0 790.0 0.972259342982 False
82 75 1124.0 778.0 0.529316392258 False
82 84 953.0 875.0 0.740030908198 False
82 85 1030.0 856.0 0.701882247273 False
85 74 978.0 790.0 0.762703695725 False
85 75 1124.0 778.0 0.745366896394 False
85 85 1030.0 856.0 0.553574367201 False
88 73 786.0 786.0 0.40227753387 False
88 74 978.0 790.0 0.972259342982 False
88 75 1124.0 778.0 0.529316392258 False
88 84 953.0 875.0 0.740030908198 False
88 85 1030.0 856.0 0.701882247273 False
91 74 978.0 790.0 0.569270070553 False
91 75 1124.0 778.0 0.644316708355 False
91 84 953.0 875.0 0.746639173862 False
91 85 1030.0 856.0 0.994660738539 False
91 95 1050.0 991.0 0.602968004194 False
94 75 1124.0 778.0 0.425843915712 False
94 84 953.0 875.0 0.656792373183 False
94 85 1030.0 856.0 0.747542510756 False
94 95 1050.0 991.0 0.873027920251 False
97 84 953.0 875.0 0.859731073406 False
97 85 1030.0 856.0 0.517067300329 False
97 93 791.0 997.0 0.447718218468 False
97 94 914.0 983.0 0.651085607869 False
97 95 1050.0 991.0 0.688490479236 False
100 73 786.0 786.0 0.570780714494 False
100 84 953.0 875.0 0.852121867337 False
100 93 791.0 997.0 0.494896974893 False
100 95 1050.0 991.0 0.393870596833 False
103 74 978.0 790.0 0.502578046284 False
103 75 1124.0 778.0 0.419770472066 False
103 84 953.0 875.0 0.980944728694 False
103 85 1030.0 856.0 0.794881752296 False
103 95 1050.0 991.0 0.59927925497 False
106 73 786.0 786.0 0.40227753387 False
106 74 978.0 790.0 0.972259342982 False
106 75 1124.0 778.0 0.529316392258 False
106 84 953.0 875.0 0.740030908198 False
106 85 1030.0 856.0 0.701882247273 False
109 73 786.0 786.0 0.69884507046 False
109 74 978.0 790.0 0.564561262934 False
109 84 953.0 875.0 0.642846126734 False
112 73 786.0 786.0 0.570780714494 False
112 84 953.0 875.0 0.852121867337 False
112 93 791.0 997.0 0.494896974893 False
112 95 1050.0 991.0 0.393870596833 False
115 73 786.0 786.0 0.535549696321 False
115 84 953.0 875.0 0.467537293007 False
115 93 791.0 997.0 0.793887846103 False
115 94 914.0 983.0 0.513250977612 False
118 73 786.0 786.0 0.59921239942 False
118 83 701.0 862.0 0.536900316405 False
118 93 791.0 997.0 0.872057789552 False
121 73 786.0 786.0 0.748578029944 False
121 83 701.0 862.0 0.933825998798 False
121 93 791.0 997.0 0.62084213694 False
124 73 786.0 786.0 0.472494587178 False
124 83 701.0 862.0 0.622373455043 False
124 93 791.0 997.0 0.852169130246 False
127 73 786.0 786.0 0.748578029944 False
127 83 701.0 862.0 0.933825998798 False
127 93 791.0 997.0 0.62084213694 False
130 73 786.0 786.0 0.452369640325 False
130 83 701.0 862.0 0.772094941934 False
130 93 791.0 997.0 0.64143318743 False
133 83 701.0 862.0 0.495722778866 False
133 92 424.0 900.0 0.386107381622 False
133 93 791.0 997.0 0.378196875944 False
136 72 527.0 784.0 0.405706980064 False
136 82 489.0 815.0 0.580312764534 False
136 92 424.0 900.0 0.592504206321 False
139 72 527.0 784.0 0.832214538507 False
139 82 489.0 815.0 0.95755661861 False
139 92 424.0 900.0 0.702661481861 False
142 82 489.0 815.0 0.773403634833 False
142 92 424.0 900.0 0.944316836837 False
145 91 375.0 963.0 0.467920575467 False
145 92 424.0 900.0 0.906903865047 False
148 91 375.0 963.0 0.941547280713 False
148 92 424.0 900.0 0.923822335181 False
151 81 330.0 817.0 0.372886192578 False
151 91 375.0 963.0 0.765619623187 False
151 92 424.0 900.0 0.727255541651 False
153 91 375.0 963.0 1.0 True
154 92 424.0 900.0 1.0 True
155 91 375.0 963.0 1.0 True
156 92 424.0 900.0 1.0 True
157 91 375.0 963.0 1.0 True
158 92 424.0 900.0 1.0 True
159 91 375.0 963.0 1.0 True
160 92 424.0 900.0 1.0 True
161 91 375.0 963.0 1.0 True
162 92 424.0 900.0 1.0 True
163 91 375.0 963.0 1.0 True
164 92 424.0 900.0 1.0 True
165 91 375.0 963.0 1.0 True
166 92 424.0 900.0 1.0 True
167 91 375.0 963.0 1.0 True
168 92 424.0 900.0 1.0 True
169 91 375.0 963.0 1.0 True
170 92 424.0 900.0 1.0 True
171 91 375.0 963.0 1.0 True
172 92 424.0 900.0 1.0 True
173 91 375.0 963.0 1.0 True
174 92 424.0 900.0 1.0 True
175 91 375.0 963.0 1.0 True
176 92 424.0 900.0 1.0 True
177 91 375.0 963.0 1.0 True
178 92 424.0 900.0 1.0 True
179 91 375.0 963.0 1.0 True
180 92 424.0 900.0 1.0 True
181 82 489.0 815.0 1.0 True
182 91 375.0 963.0 1.0 True
183 92 424.0 900.0 1.0 True
184 72 527.0 784.0 1.0 True
185 91 375.0 963.0 1.0 True
186 92 424.0 900.0 1.0 True
187 91 375.0 963.0 1.0 True
188 82 489.0 815.0 1.0 True
189 92 424.0 900.0 1.0 True
190 83 701.0 862.0 1.0 True
191 72 527.0 784.0 1.0 True
192 91 375.0 963.0 1.0 True
193 93 791.0 997.0 1.0 True
194 92 424.0 900.0 1.0 True
195 73 786.0 786.0 1.0 True
196 83 701.0 862.0 1.0 True
197 91 375.0 963.0 1.0 True
198 92 424.0 900.0 1.0 True
199 82 489.0 815.0 1.0 True
200 82 489.0 815.0 1.0 True
201 82 489.0 815.0 1.0 True
202 93 791.0 997.0 1.0 True
203 82 489.0 815.0 1.0 True
204 82 489.0 815.0 1.0 True
205 72 527.0 784.0 1.0 True
206 82 489.0 815.0 1.0 True
207 72 527.0 784.0 1.0 True
208 91 375.0 963.0 1.0 True
209 82 489.0 815.0 1.0 True
210 72 527.0 784.0 1.0 True
211 92 424.0 900.0 1.0 True
212 72 527.0 784.0 1.0 True
213 82 489.0 815.0 1.0 True
214 73 786.0 786.0 1.0 True
215 72 527.0 784.0 1.0 True
