step cell x y activation replay
1 232 991.741935484 229.806451613 0.935948836612 False
1 233 1067.25806452 228.806451613 0.954590991223 False
1 264 1064.25806452 289.064516129 0.931148013267 False
1 294 1023.74193548 303.322580645 0.938664088502 False
2 264 1064.25806452 289.064516129 0.955269672155 False
2 294 1023.74193548 303.322580645 0.983690464574 False
2 295 1086.25806452 306.322580645 0.940826295658 False
2 357 1042.25806452 356.838709677 0.974607475717 False
3 263 983.741935484 282.064516129 0.915117675749 False
3 294 1023.74193548 303.322580645 0.961315677201 False
3 324 961.225806452 332.580645161 0.980001743352 False
3 325 1001.74193548 345.580645161 0.929185634148 False
3 356 981.741935484 363.838709677 0.924181027793 False
3 357 1042.25806452 356.838709677 0.909542546847 False
4 264 1064.25806452 289.064516129 0.955269672155 False
4 294 1023.74193548 303.322580645 0.983690464574 False
4 295 1086.25806452 306.322580645 0.940826295658 False
4 357 1042.25806452 356.838709677 0.974607475717 False
5 357 1042.25806452 356.838709677 0.98030316385 False
5 388 1074.25806452 392.096774194 0.989041057489 False
5 389 1098.77419355 398.096774194 0.956492298616 False
5 419 1059.25806452 434.35483871 0.963227342901 False
6 388 1074.25806452 392.096774194 0.912414243637 False
6 419 1059.25806452 434.35483871 0.987151324701 False
6 449 1003.74193548 459.612903226 0.963464874595 False
6 450 1082.25806452 475.612903226 0.920065693778 False
6 451 1115.77419355 481.612903226 0.916873560289 False
6 512 1084.25806452 516.129032258 0.924505233339 False
7 449 1003.74193548 459.612903226 0.957335308356 False
7 480 1004.74193548 495.870967742 0.992241261776 False
7 511 1002.74193548 542.129032258 0.956747826558 False
7 542 1005.74193548 560.387096774 0.953572369513 False
8 510 927.225806452 534.129032258 0.955600614931 False
8 540 878.709677419 578.387096774 0.906044495208 False
8 541 957.225806452 561.387096774 0.997859029578 False
8 542 1005.74193548 560.387096774 0.947137695067 False
8 572 945.225806452 584.64516129 0.987425340308 False
9 542 1005.74193548 560.387096774 0.959952907641 False
9 572 945.225806452 584.64516129 0.938919452983 False
9 573 1005.74193548 585.64516129 0.978934753659 False
9 574 1051.25806452 603.64516129 0.954044724609 False
9 604 1021.74193548 616.903225806 0.990231858459 False
9 605 1033.25806452 630.903225806 0.971418719658 False
10 604 1021.74193548 616.903225806 0.927981953352 False
10 605 1033.25806452 630.903225806 0.942631294925 False
10 635 1019.74193548 675.161290323 0.975447376884 False
10 665 945.225806452 690.419354839 0.945460072659 False
10 666 1020.74193548 694.419354839 0.987629947461 False
10 667 1034.25806452 693.419354839 0.945097365987 False
11 666 1020.74193548 694.419354839 0.966436196037 False
11 667 1034.25806452 693.419354839 0.945808860574 False
11 698 1036.25806452 711.677419355 0.973772778701 False
11 699 1102.77419355 710.677419355 0.946027019912 False
11 729 1053.25806452 763.935483871 0.947712330452 False
12 665 945.225806452 690.419354839 0.955702905891 False
12 666 1020.74193548 694.419354839 0.951532185171 False
12 697 978.741935484 726.677419355 0.999950926602 False
12 727 925.225806452 741.935483871 0.9454691792 False
12 728 980.741935484 742.935483871 0.990438294634 False
13 758 958.225806452 785.193548387 0.962976399071 False
13 759 1005.74193548 785.193548387 0.96696169718 False
13 789 954.225806452 830.451612903 0.969793642525 False
13 790 1003.74193548 825.451612903 0.917950294177 False
14 789 954.225806452 830.451612903 0.984823233536 False
14 820 908.225806452 852.709677419 0.979928600095 False
14 851 911.225806452 891.967741935 0.958640853984 False
15 851 911.225806452 891.967741935 0.982757914561 False
15 882 933.225806452 913.225806452 0.999019032609 False
15 912 897.709677419 961.483870968 0.947679263241 False
15 913 933.225806452 939.483870968 0.968227458922 False
15 944 952.225806452 972.741935484 0.937957654133 False
16 852 982.741935484 871.967741935 0.911216074916 False
16 883 1003.74193548 927.225806452 0.992597577073 False
16 884 1041.25806452 933.225806452 0.965652682884 False
16 914 1020.74193548 939.483870968 0.983490093314 False
16 944 952.225806452 972.741935484 0.908605725495 False
17 789 954.225806452 830.451612903 0.95876538177 False
17 790 1003.74193548 825.451612903 0.970586118884 False
17 821 984.741935484 861.709677419 0.982175602577 False
17 852 982.741935484 871.967741935 0.963792331809 False
18 791 1071.25806452 814.451612903 0.935897204852 False
18 792 1115.77419355 825.451612903 0.95552670295 False
18 822 1049.25806452 856.709677419 0.979226790795 False
18 853 1090.25806452 870.967741935 0.982631388378 False
19 792 1115.77419355 825.451612903 0.913984404941 False
19 823 1151.77419355 865.709677419 0.923532127287 False
19 824 1164.29032258 838.709677419 0.909367635468 False
19 853 1090.25806452 870.967741935 0.973582986484 False
19 854 1139.77419355 883.967741935 0.965137207458 False
19 885 1130.77419355 930.225806452 0.950628928776 False
19 916 1108.77419355 966.483870968 0.914699933511 False
20 823 1151.77419355 865.709677419 0.909554767499 False
20 824 1164.29032258 838.709677419 0.931804251639 False
20 855 1206.29032258 881.967741935 0.980485999972 False
20 856 1229.80645161 899.967741935 0.97131782938 False
20 886 1186.29032258 912.225806452 0.983995511014 False
20 917 1223.29032258 939.483870968 0.948214128512 False
20 918 1226.80645161 955.483870968 0.917012987753 False
21 762 1213.29032258 798.193548387 0.947367788308 False
21 763 1246.80645161 777.193548387 0.916056489989 False
21 793 1215.29032258 833.451612903 0.954501454849 False
21 794 1273.80645161 829.451612903 0.909415276705 False
21 825 1280.80645161 856.709677419 0.967770383357 False
21 826 1290.32258065 860.709677419 0.951053625265 False
21 855 1206.29032258 881.967741935 0.912346142249 False
21 856 1229.80645161 899.967741935 0.949892462354 False
22 764 1348.32258065 796.193548387 0.92926757692 False
22 794 1273.80645161 829.451612903 0.907916564057 False
22 795 1331.32258065 832.451612903 0.956610828774 False
22 825 1280.80645161 856.709677419 0.984316925663 False
