step cell x y activation replay
1 14 965.0 122.0 0.94098717132 False
1 15 1014.0 170.0 0.941452521294 False
1 25 1181.0 244.0 0.915821086518 False
1 35 1162.0 349.0 0.918116823505 False
2 34 864.0 393.0 0.926589695606 False
2 44 938.0 416.0 0.916176089804 False
3 34 864.0 393.0 0.956620188422 False
3 44 938.0 416.0 0.992092295359 False
4 35 1162.0 349.0 0.913641390872 False
4 44 938.0 416.0 0.960377641397 False
5 55 1069.0 584.0 0.908435479016 False
5 64 984.0 604.0 0.917762226355 False
6 55 1069.0 584.0 0.990513250668 False
6 64 984.0 604.0 0.942886170191 False
7 55 1069.0 584.0 0.978417482158 False
7 64 984.0 604.0 0.955797764757 False
7 65 1064.0 692.0 0.975202948652 False
7 74 983.0 754.0 0.948328097398 False
8 55 1069.0 584.0 0.911771622284 False
8 64 984.0 604.0 0.994282756129 False
8 65 1064.0 692.0 0.936020700978 False
8 74 983.0 754.0 0.959389591507 False
9 55 1069.0 584.0 0.978417482158 False
9 64 984.0 604.0 0.955797764757 False
9 65 1064.0 692.0 0.975202948652 False
9 74 983.0 754.0 0.948328097398 False
10 55 1069.0 584.0 0.911771622284 False
10 64 984.0 604.0 0.994282756129 False
10 65 1064.0 692.0 0.936020700978 False
10 74 983.0 754.0 0.959389591507 False
11 55 1069.0 584.0 0.978417482158 False
11 64 984.0 604.0 0.955797764757 False
11 65 1064.0 692.0 0.975202948652 False
11 74 983.0 754.0 0.948328097398 False
12 65 1064.0 692.0 0.998507181573 False
12 74 983.0 754.0 0.980461628332 False
12 75 1134.0 750.0 0.943696253502 False
13 65 1064.0 692.0 0.958116207974 False
13 74 983.0 754.0 0.999145345525 False
14 65 1064.0 692.0 0.935112701996 False
14 74 983.0 754.0 0.983534652045 False
14 75 1134.0 750.0 0.94592119174 False
14 85 1049.0 896.0 0.94419180784 False
15 74 983.0 754.0 0.955519795902 False
15 85 1049.0 896.0 0.995199621805 False
16 85 1049.0 896.0 0.989865610034 False
17 74 983.0 754.0 0.955519795902 False
17 85 1049.0 896.0 0.995199621805 False
18 85 1049.0 896.0 0.982754815889 False
18 95 1153.0 917.0 0.973395207857 False
19 74 983.0 754.0 0.955519795902 False
19 85 1049.0 896.0 0.995199621805 False
20 65 1064.0 692.0 0.935112701996 False
20 74 983.0 754.0 0.983534652045 False
20 75 1134.0 750.0 0.94592119174 False
20 85 1049.0 896.0 0.94419180784 False
21 74 983.0 754.0 0.955519795902 False
21 85 1049.0 896.0 0.995199621805 False
22 85 1049.0 896.0 0.982754815889 False
22 95 1153.0 917.0 0.973395207857 False
23 85 1049.0 896.0 0.915790678626 False
23 95 1153.0 917.0 0.977432918639 False
24 95 1153.0 917.0 0.981460155989 False
25 76 1309.0 734.0 0.911668012255 False
25 96 1391.0 915.0 0.91433456865 False
26 76 1309.0 734.0 0.962718246762 False
27 76 1309.0 734.0 0.932749335749 False
27 86 1386.0 882.0 0.955674766298 False
27 96 1391.0 915.0 0.96656572446 False
28 76 1309.0 734.0 0.95847315529 False
28 86 1386.0 882.0 0.985428610126 False
28 87 1408.0 842.0 0.984340879598 False
28 96 1391.0 915.0 0.96968332464 False
29 76 1309.0 734.0 0.907648026016 False
29 86 1386.0 882.0 0.985447936836 False
29 87 1408.0 842.0 0.934691682702 False
29 96 1391.0 915.0 0.996569995697 False
30 76 1309.0 734.0 0.925665674004 False
30 86 1386.0 882.0 0.989517346182 False
30 87 1408.0 842.0 0.993351012133 False
30 96 1391.0 915.0 0.982947084521 False
31 86 1386.0 882.0 0.909102974846 False
31 87 1408.0 842.0 0.938986869638 False
31 96 1391.0 915.0 0.934911234813 False
31 97 1584.0 901.0 0.906371372939 False
32 96 1391.0 915.0 0.944652446375 False
33 86 1386.0 882.0 0.909102974846 False
33 87 1408.0 842.0 0.938986869638 False
33 96 1391.0 915.0 0.934911234813 False
33 97 1584.0 901.0 0.906371372939 False
34 97 1584.0 901.0 0.976596126785 False
34 98 1686.0 962.0 0.937520581077 False
35 88 1726.0 871.0 0.906877175868 False
35 97 1584.0 901.0 0.993194244198 False
35 98 1686.0 962.0 0.978075352209 False
36 88 1726.0 871.0 0.915167306416 False
36 97 1584.0 901.0 0.9690473261 False
36 98 1686.0 962.0 0.949681655848 False
37 79 1827.0 753.0 0.920158738923 False
37 88 1726.0 871.0 0.981947489701 False
37 98 1686.0 962.0 0.965554275122 False
38 88 1726.0 871.0 0.973052424477 False
38 97 1584.0 901.0 0.922578827696 False
38 98 1686.0 962.0 0.994422532964 False
39 88 1726.0 871.0 0.947481737501 False
39 98 1686.0 962.0 0.995857266999 False
40 88 1726.0 871.0 0.920803454027 False
40 98 1686.0 962.0 0.968920907924 False
41 79 1827.0 753.0 0.930932017371 False
41 88 1726.0 871.0 0.908218943185 False
41 89 1973.0 899.0 0.90583425049 False
41 98 1686.0 962.0 0.930723423589 False
42 79 1827.0 753.0 0.912950875201 False
42 89 1973.0 899.0 0.978400096233 False
42 99 1917.0 999.0 0.939668563085 False
43 79 1827.0 753.0 0.919274173449 False
43 89 1973.0 899.0 0.993713519808 False
44 79 1827.0 753.0 0.954619201767 False
44 89 1973.0 899.0 0.958520012212 False
45 69 1907.0 662.0 0.952477851801 False
45 79 1827.0 753.0 0.98296949536 False
45 89 1973.0 899.0 0.90713494764 False
46 59 1914.0 560.0 0.927951860086 False
46 69 1907.0 662.0 0.988376973967 False
46 79 1827.0 753.0 0.986409060786 False
47 59 1914.0 560.0 0.974338620262 False
47 69 1907.0 662.0 0.999533812756 False
47 79 1827.0 753.0 0.964675397863 False
48 59 1914.0 560.0 0.997014616809 False
48 69 1907.0 662.0 0.985098139702 False
48 79 1827.0 753.0 0.919416917105 False
49 59 1914.0 560.0 0.996370502022 False
49 69 1907.0 662.0 0.956918061606 False
50 39 1814.0 365.0 0.930234736379 False
50 48 1785.0 422.0 0.930510254052 False
50 59 1914.0 560.0 0.975674733517 False
51 39 1814.0 365.0 0.963336510579 False
