step cell x y activation replay
1 4 901.0 82.0 0.448315010018 False
1 14 907.0 154.0 0.748559047252 False
1 24 977.0 268.0 0.972906098849 False
1 34 975.0 357.0 0.487071508357 False
4 14 907.0 154.0 0.56066322268 False
4 15 1122.0 130.0 0.523900643922 False
4 24 977.0 268.0 0.942921536095 False
4 34 975.0 357.0 0.44648588104 False
4 35 1175.0 354.0 0.400544302656 False
7 24 977.0 268.0 0.887352990626 False
7 34 975.0 357.0 0.814048880674 False
7 35 1175.0 354.0 0.517349138635 False
10 24 977.0 268.0 0.763998695723 False
10 34 975.0 357.0 0.990586689911 False
10 54 894.0 539.0 0.40011004817 False
13 24 977.0 268.0 0.463062238263 False
13 34 975.0 357.0 0.671148289834 False
13 45 1063.0 483.0 0.540448500095 False
13 54 894.0 539.0 0.657733375748 False
13 64 953.0 602.0 0.492976724983 False
16 45 1063.0 483.0 0.89704342167 False
16 54 894.0 539.0 0.613889937153 False
16 55 1028.0 563.0 0.595440798459 False
16 64 953.0 602.0 0.632129896178 False
19 45 1063.0 483.0 0.641406915652 False
19 54 894.0 539.0 0.649960289718 False
19 55 1028.0 563.0 0.992949310882 False
19 64 953.0 602.0 0.843992137952 False
22 54 894.0 539.0 0.531807562422 False
22 55 1028.0 563.0 0.669139243227 False
22 64 953.0 602.0 0.870846975304 False
22 85 1033.0 818.0 0.387295131302 False
25 64 953.0 602.0 0.694411125993 False
25 75 1019.0 788.0 0.47667195472 False
25 85 1033.0 818.0 0.684063808486 False
28 64 953.0 602.0 0.398319432979 False
28 65 1159.0 683.0 0.487424180007 False
28 75 1019.0 788.0 0.67808624912 False
28 85 1033.0 818.0 0.847976450966 False
31 75 1019.0 788.0 0.991505602842 False
31 84 902.0 854.0 0.635530906978 False
31 85 1033.0 818.0 0.98494149377 False
31 94 993.0 984.0 0.392689394091 False
34 75 1019.0 788.0 0.569982394016 False
34 84 902.0 854.0 0.47542661972 False
34 85 1033.0 818.0 0.943558839814 False
34 94 993.0 984.0 0.522239366344 False
37 76 1205.0 751.0 0.451512004958 False
37 85 1033.0 818.0 0.723839707078 False
40 85 1033.0 818.0 0.571915528991 False
40 94 993.0 984.0 0.503389357941 False
40 95 1149.0 970.0 0.765408760882 False
43 76 1205.0 751.0 0.441693864177 False
43 85 1033.0 818.0 0.492385490502 False
46 95 1149.0 970.0 0.779296595171 False
52 95 1149.0 970.0 0.46666551722 False
58 76 1205.0 751.0 0.42086699961 False
58 86 1384.0 877.0 0.533931881957 False
58 96 1388.0 917.0 0.386507741326 False
61 86 1384.0 877.0 0.875982894072 False
61 96 1388.0 917.0 0.820544809382 False
64 86 1384.0 877.0 0.804759279571 False
64 96 1388.0 917.0 0.975454473165 False
67 86 1384.0 877.0 0.993944336643 False
67 87 1428.0 813.0 0.65296354101 False
67 96 1388.0 917.0 0.864957650346 False
70 86 1384.0 877.0 0.770495980823 False
70 96 1388.0 917.0 0.867635858685 False
73 96 1388.0 917.0 0.487349738685 False
76 97 1599.0 918.0 0.68082012138 False
79 88 1613.0 859.0 0.729486262716 False
79 97 1599.0 918.0 0.995411069413 False
79 98 1653.0 905.0 0.804374685539 False
82 88 1613.0 859.0 0.98225555548 False
82 97 1599.0 918.0 0.624519986204 False
82 98 1653.0 905.0 0.59714619361 False
85 88 1613.0 859.0 0.729486262716 False
85 97 1599.0 918.0 0.995411069413 False
85 98 1653.0 905.0 0.804374685539 False
88 88 1613.0 859.0 0.840734395011 False
88 97 1599.0 918.0 0.588130200488 False
88 98 1653.0 905.0 0.877506710916 False
91 98 1653.0 905.0 0.76871326249 False
91 99 1879.0 914.0 0.450823914168 False
94 99 1879.0 914.0 0.618627811238 False
97 78 1768.0 773.0 0.401290326142 False
97 89 1825.0 852.0 0.525802524577 False
97 98 1653.0 905.0 0.383395813727 False
97 99 1879.0 914.0 0.659755973163 False
100 69 1923.0 694.0 0.372282628747 False
100 78 1768.0 773.0 0.670019588187 False
100 79 1864.0 763.0 0.532273850884 False
100 89 1825.0 852.0 0.957704399895 False
100 99 1879.0 914.0 0.766319669597 False
103 68 1738.0 620.0 0.466471966838 False
103 69 1923.0 694.0 0.574815174501 False
103 78 1768.0 773.0 0.925429868646 False
103 79 1864.0 763.0 0.798671526316 False
103 89 1825.0 852.0 0.570544728479 False
103 99 1879.0 914.0 0.526368329308 False
106 58 1733.0 587.0 0.59985931105 False
